rGA:n2-Pc1-Pm0.01,rGA:n2-Pc0.9-Pm0.01,rGA:n2-Pc0.5-Pm0.01,rGA:n2-Pc0.1-Pm0.01,rGA:n2-Pc0-Pm0.01
27.5923,28.9636,35.7041,36.549,33.8257
27.4591,28.9509,35.7041,36.3042,33.8202
27.2472,28.7372,35.7041,36.0508,33.653
26.6905,28.6167,32.2975,35.2537,33.6251
25.1512,25.633000000000003,32.2598,34.9201,33.4589
25.0132,25.2737,32.2316,33.1278,33.0098
23.1184,23.8283,32.1669,32.9771,32.8669
23.0728,23.8227,32.1669,32.9771,32.2299
23.046,23.79,32.1669,31.8069,32.2299
22.6341,23.6586,31.8559,31.2181,32.2299
22.6341,23.6355,31.8559,31.1308,32.2201
22.5431,22.7844,31.7388,30.3564,32.2201
22.5431,22.6423,31.2776,30.3162,32.0509
22.5431,22.6423,31.005,30.3162,31.2183
22.4351,22.0111,30.8851,30.1943,29.3755
22.3757,21.8423,28.6246,30.0972,28.8606
22.3698,21.6844,28.3699,29.4723,28.8491
22.2528,21.6208,27.9314,29.4152,28.7005
22.2528,21.6171,26.6794,29.2656,28.1925
22.1688,21.147,26.5084,29.1599,27.8135
21.3344,21.1355,26.4933,28.1382,27.6446
20.9126,20.8594,25.7249,26.6189,26.5839
20.7955,20.3679,25.3777,25.9324,26.5507
19.7995,20.1278,25.2864,25.4818,25.8576
19.3195,20.1278,25.2728,25.3943,25.5056
19.2997,20.1278,25.1121,25.3943,25.3515
19.0262,20.104,25.0952,24.8083,25.3515
18.9731,19.98,24.6578,24.7195,25.2775
18.9731,19.9083,24.5586,24.3419,24.6861
18.9731,19.6821,24.5553,24.3419,24.6852
18.949,19.6794,24.5553,24.2359,24.4299
18.8965,19.426,22.9736,23.9589,24.4299
18.1399,19.2943,22.9686,23.9015,24.2307
18.0045,19.0745,22.9686,23.9015,23.7929
17.9976,19.0745,22.9686,23.9015,23.6235
17.9595,18.8067,22.9305,23.4962,23.6104
17.9475,18.5953,22.5037,23.4962,23.5733
17.9146,18.5953,22.5037,23.493000000000002,23.5733
