n1-Pc0.9-Pm0.01,n2-Pc0.9-Pm0.01,n4-Pc0.9-Pm0.01,n8-Pc0.9-Pm0.01,n16-Pc0.9-Pm0.01,n32-Pc0.9-Pm0.01
74.8647,115.639,202.832,257.097,387.542,405.86800000000005
74.8416,115.635,202.828,257.028,387.542,403.965
74.8253,115.635,202.828,257.027,387.538,403.965
74.8169,115.618,202.828,257.027,385.485,403.602
74.7864,115.601,202.828,257.027,382.464,403.602
74.7815,115.57799999999999,202.828,256.995,381.426,403.47
74.7607,115.57799999999999,202.828,256.983,379.99699999999996,403.466
74.722,115.574,202.828,254.227,379.98900000000003,403.39599999999996
74.722,115.56200000000001,202.828,254.227,378.619,403.168
74.721,115.53200000000001,202.828,251.87,378.615,402.588
74.7086,115.53200000000001,202.828,251.63,378.597,402.0
74.7086,115.53200000000001,202.828,251.59599999999998,378.597,399.43300000000005
74.7076,115.53200000000001,202.828,251.435,378.597,399.228
74.707,115.531,202.828,251.428,378.462,396.798
74.6941,115.514,202.828,251.426,378.45099999999996,396.781
74.6902,115.514,202.828,251.405,378.043,396.781
74.6868,115.49600000000001,202.828,251.395,377.973,396.781
74.6834,115.49600000000001,202.828,251.38299999999998,376.735,396.781
74.676,115.492,202.828,251.38299999999998,376.54,396.781
74.6374,115.454,202.828,251.378,375.42,396.746
74.6368,115.454,202.81599999999997,251.378,375.41900000000004,396.746
74.6284,115.454,202.81599999999997,251.378,374.978,396.746
74.6279,115.454,202.81599999999997,251.378,374.977,396.74199999999996
74.6234,115.42200000000001,202.81599999999997,251.32,374.87,396.74199999999996
74.62,115.387,202.81599999999997,251.32,372.11,396.74199999999996
74.6189,115.387,202.81599999999997,251.308,372.105,396.712
74.6116,115.387,202.81599999999997,251.28799999999998,369.74,396.67900000000003
74.6116,115.37100000000001,202.81599999999997,251.28400000000002,368.971,394.99699999999996
74.6021,115.367,202.812,251.283,368.895,393.923
74.5948,115.367,202.812,251.27900000000002,368.85699999999997,391.284
74.5942,115.366,202.812,251.24099999999999,368.85699999999997,391.152
74.5903,115.365,202.812,251.24099999999999,368.837,391.12800000000004
74.5864,115.365,202.77700000000002,251.24099999999999,368.767,391.12800000000004
74.5819,115.36200000000001,202.769,251.24099999999999,365.963,391.12699999999995
74.5133,115.36200000000001,202.769,251.239,365.76,391.12199999999996
74.5133,115.36200000000001,202.753,251.235,363.225,391.101
74.5128,115.35799999999999,202.753,251.235,363.10900000000004,385.421
73.4956,115.35799999999999,202.74900000000002,251.235,363.10900000000004,385.267
73.4056,115.346,202.74900000000002,251.235,363.10900000000004,385.205
73.3794,115.344,202.74900000000002,251.202,363.10400000000004,385.13199999999995
73.3755,115.34,202.74900000000002,251.202,363.046,385.131
73.3592,115.324,202.74900000000002,251.202,363.042,385.12699999999995
72.0766,115.32,202.74900000000002,251.19099999999997,363.042,385.12699999999995
72.0766,115.316,202.74900000000002,251.19099999999997,360.286,385.12699999999995
72.0766,115.29899999999999,202.74900000000002,251.19,360.27,385.12699999999995
72.0766,115.287,202.736,251.19,357.635,385.12699999999995
72.07600000000001,115.286,202.735,251.19,357.631,385.12699999999995
72.07600000000001,115.286,202.735,251.18599999999998,357.626,385.12300000000005
72.0721,115.286,202.696,251.15099999999998,357.626,385.12300000000005
72.0721,115.286,202.696,251.15099999999998,357.626,385.12300000000005
71.6273,115.25200000000001,202.692,251.15099999999998,357.626,384.459
71.6273,115.25200000000001,202.692,251.15099999999998,357.626,384.08099999999996
71.5926,115.25200000000001,202.692,251.139,357.626,382.713
71.5926,115.25200000000001,202.688,250.40400000000002,357.626,382.35900000000004
71.5926,115.25200000000001,202.66299999999998,250.399,357.61400000000003,382.30199999999996
71.5926,115.25200000000001,202.66299999999998,250.291,357.61400000000003,382.025
