rGA-whole,rGA-uniform,bGA-2pt,bGA-uniform
0.31244099999999997,0.270063,85.7462,288.945
0.303586,0.26993,85.7462,288.945
0.303586,0.268129,85.7462,288.945
0.303586,0.261239,85.7344,288.945
0.303573,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.30078699999999997,0.261239,85.7344,288.945
0.300732,0.261239,85.7338,288.945
0.300732,0.261239,85.7338,288.945
0.29487399999999997,0.260792,85.7338,286.242
0.29483000000000004,0.260792,85.7338,286.242
0.29483000000000004,0.25943499999999997,85.7338,286.242
0.289896,0.25943499999999997,85.7338,286.242
0.289896,0.25911,85.7338,286.242
0.278314,0.25911,85.7338,286.184
0.27581700000000003,0.258558,85.7338,285.841
0.275648,0.258558,85.7299,285.841
0.275648,0.258558,85.7299,283.575
0.274276,0.258558,85.7299,283.575
0.271867,0.258558,83.4116,283.575
 , ,,
